a0,b0,c0,d0,e0,f0,g0,h0,i0,j0,l0,m0,n0,o0,p0,q0,r0,s0,t0,u0
a32,b32,c32,d32,e32,f32,g32,h32,i32,j32,l32,m32,n32,o32,p32,q32,r32,s32,t32,u32
a33,b33,c33,d33,e33,f33,g33,h33,i33,j33,l33,m33,n33,o33,p33,q33,r33,s33,t33,u33
a34,b34,c34,d34,e34,f34,g34,h34,i34,j34,l34,m34,n34,o34,p34,q34,r34,s34,t34,u34
a35,b35,c35,d35,e35,f35,g35,h35,i35,j35,l35,m35,n35,o35,p35,q35,r35,s35,t35,u35
a36,b36,c36,d36,e36,f36,g36,h36,i36,j36,l36,m36,n36,o36,p36,q36,r36,s36,t36,u36
a37,b37,c37,d37,e37,f37,g37,h37,i37,j37,l37,m37,n37,o37,p37,q37,r37,s37,t37,u37
a38,b38,c38,d38,e38,f38,g38,h38,i38,j38,l38,m38,n38,o38,p38,q38,r38,s38,t38,u38
a39,b39,c39,d39,e39,f39,g39,h39,i39,j39,l39,m39,n39,o39,p39,q39,r39,s39,t39,u39
a40,b40,c40,d40,e40,f40,g40,h40,i40,j40,l40,m40,n40,o40,p40,q40,r40,s40,t40,u40
a41,b41,c41,d41,e41,f41,g41,h41,i41,j41,l41,m41,n41,o41,p41,q41,r41,s41,t41,u41
a42,b42,c42,d42,e42,f42,g42,h42,i42,j42,l42,m42,n42,o42,p42,q42,r42,s42,t42,u42
a43,b43,c43,d43,e43,f43,g43,h43,i43,j43,l43,m43,n43,o43,p43,q43,r43,s43,t43,u43
a44,b44,c44,d44,e44,f44,g44,h44,i44,j44,l44,m44,n44,o44,p44,q44,r44,s44,t44,u44
a45,b45,c45,d45,e45,f45,g45,h45,i45,j45,l45,m45,n45,o45,p45,q45,r45,s45,t45,u45
a46,b46,c46,d46,e46,f46,g46,h46,i46,j46,l46,m46,n46,o46,p46,q46,r46,s46,t46,u46
a47,b47,c47,d47,e47,f47,g47,h47,i47,j47,l47,m47,n47,o47,p47,q47,r47,s47,t47,u47
a48,b48,c48,d48,e48,f48,g48,h48,i48,j48,l48,m48,n48,o48,p48,q48,r48,s48,t48,u48
a49,b49,c49,d49,e49,f49,g49,h49,i49,j49,l49,m49,n49,o49,p49,q49,r49,s49,t49,u49
a50,b50,c50,d50,e50,f50,g50,h50,i50,j50,l50,m50,n50,o50,p50,q50,r50,s50,t50,u50
a51,b51,c51,d51,e51,f51,g51,h51,i51,j51,l51,m51,n51,o51,p51,q51,r51,s51,t51,u51
a52,b52,c52,d52,e52,f52,g52,h52,i52,j52,l52,m52,n52,o52,p52,q52,r52,s52,t52,u52
a53,b53,c53,d53,e53,f53,g53,h53,i53,j53,l53,m53,n53,o53,p53,q53,r53,s53,t53,u53
a54,b54,c54,d54,e54,f54,g54,h54,i54,j54,l54,m54,n54,o54,p54,q54,r54,s54,t54,u54
a55,b55,c55,d55,e55,f55,g55,h55,i55,j55,l55,m55,n55,o55,p55,q55,r55,s55,t55,u55
a56,b56,c56,d56,e56,f56,g56,h56,i56,j56,l56,m56,n56,o56,p56,q56,r56,s56,t56,u56
a57,b57,c57,d57,e57,f57,g57,h57,i57,j57,l57,m57,n57,o57,p57,q57,r57,s57,t57,u57
a58,b58,c58,d58,e58,f58,g58,h58,i58,j58,l58,m58,n58,o58,p58,q58,r58,s58,t58,u58
a59,b59,c59,d59,e59,f59,g59,h59,i59,j59,l59,m59,n59,o59,p59,q59,r59,s59,t59,u59
a60,b60,c60,d60,e60,f60,g60,h60,i60,j60,l60,m60,n60,o60,p60,q60,r60,s60,t60,u60
a61,b61,c61,d61,e61,f61,g61,h61,i61,j61,l61,m61,n61,o61,p61,q61,r61,s61,t61,u61
a62,b62,c62,d62,e62,f62,g62,h62,i62,j62,l62,m62,n62,o62,p62,q62,r62,s62,t62,u62
a63,b63,c63,d63,e63,f63,g63,h63,i63,j63,l63,m63,n63,o63,p63,q63,r63,s63,t63,u63
a64,b64,c64,d64,e64,f64,g64,h64,i64,j64,l64,m64,n64,o64,p64,q64,r64,s64,t64,u64
a65,b65,c65,d65,e65,f65,g65,h65,i65,j65,l65,m65,n65,o65,p65,q65,r65,s65,t65,u65
a66,b66,c66,d66,e66,f66,g66,h66,i66,j66,l66,m66,n66,o66,p66,q66,r66,s66,t66,u66
a67,b67,c67,d67,e67,f67,g67,h67,i67,j67,l67,m67,n67,o67,p67,q67,r67,s67,t67,u67
a68,b68,c68,d68,e68,f68,g68,h68,i68,j68,l68,m68,n68,o68,p68,q68,r68,s68,t68,u68
a69,b69,c69,d69,e69,f69,g69,h69,i69,j69,l69,m69,n69,o69,p69,q69,r69,s69,t69,u69
a70,b70,c70,d70,e70,f70,g70,h70,i70,j70,l70,m70,n70,o70,p70,q70,r70,s70,t70,u70
a71,b71,c71,d71,e71,f71,g71,h71,i71,j71,l71,m71,n71,o71,p71,q71,r71,s71,t71,u71
a72,b72,c72,d72,e72,f72,g72,h72,i72,j72,l72,m72,n72,o72,p72,q72,r72,s72,t72,u72
a73,b73,c73,d73,e73,f73,g73,h73,i73,j73,l73,m73,n73,o73,p73,q73,r73,s73,t73,u73
a74,b74,c74,d74,e74,f74,g74,h74,i74,j74,l74,m74,n74,o74,p74,q74,r74,s74,t74,u74
a75,b75,c75,d75,e75,f75,g75,h75,i75,j75,l75,m75,n75,o75,p75,q75,r75,s75,t75,u75
a76,b76,c76,d76,e76,f76,g76,h76,i76,j76,l76,m76,n76,o76,p76,q76,r76,s76,t76,u76
a77,b77,c77,d77,e77,f77,g77,h77,i77,j77,l77,m77,n77,o77,p77,q77,r77,s77,t77,u77
a78,b78,c78,d78,e78,f78,g78,h78,i78,j78,l78,m78,n78,o78,p78,q78,r78,s78,t78,u78
a79,b79,c79,d79,e79,f79,g79,h79,i79,j79,l79,m79,n79,o79,p79,q79,r79,s79,t79,u79
a80,b80,c80,d80,e80,f80,g80,h80,i80,j80,l80,m80,n80,o80,p80,q80,r80,s80,t80,u80
a81,b81,c81,d81,e81,f81,g81,h81,i81,j81,l81,m81,n81,o81,p81,q81,r81,s81,t81,u81
a82,b82,c82,d82,e82,f82,g82,h82,i82,j82,l82,m82,n82,o82,p82,q82,r82,s82,t82,u82
a83,b83,c83,d83,e83,f83,g83,h83,i83,j83,l83,m83,n83,o83,p83,q83,r83,s83,t83,u83
a84,b84,c84,d84,e84,f84,g84,h84,i84,j84,l84,m84,n84,o84,p84,q84,r84,s84,t84,u84
a85,b85,c85,d85,e85,f85,g85,h85,i85,j85,l85,m85,n85,o85,p85,q85,r85,s85,t85,u85
a86,b86,c86,d86,e86,f86,g86,h86,i86,j86,l86,m86,n86,o86,p86,q86,r86,s86,t86,u86
a87,b87,c87,d87,e87,f87,g87,h87,i87,j87,l87,m87,n87,o87,p87,q87,r87,s87,t87,u87
a88,b88,c88,d88,e88,f88,g88,h88,i88,j88,l88,m88,n88,o88,p88,q88,r88,s88,t88,u88
a89,b89,c89,d89,e89,f89,g89,h89,i89,j89,l89,m89,n89,o89,p89,q89,r89,s89,t89,u89
a90,b90,c90,d90,e90,f90,g90,h90,i90,j90,l90,m90,n90,o90,p90,q90,r90,s90,t90,u90
a91,b91,c91,d91,e91,f91,g91,h91,i91,j91,l91,m91,n91,o91,p91,q91,r91,s91,t91,u91
a92,b92,c92,d92,e92,f92,g92,h92,i92,j92,l92,m92,n92,o92,p92,q92,r92,s92,t92,u92
a93,b93,c93,d93,e93,f93,g93,h93,i93,j93,l93,m93,n93,o93,p93,q93,r93,s93,t93,u93
a94,b94,c94,d94,e94,f94,g94,h94,i94,j94,l94,m94,n94,o94,p94,q94,r94,s94,t94,u94
a95,b95,c95,d95,e95,f95,g95,h95,i95,j95,l95,m95,n95,o95,p95,q95,r95,s95,t95,u95
a96,b96,c96,d96,e96,f96,g96,h96,i96,j96,l96,m96,n96,o96,p96,q96,r96,s96,t96,u96
a97,b97,c97,d97,e97,f97,g97,h97,i97,j97,l97,m97,n97,o97,p97,q97,r97,s97,t97,u97
a98,b98,c98,d98,e98,f98,g98,h98,i98,j98,l98,m98,n98,o98,p98,q98,r98,s98,t98,u98
a99,b99,c99,d99,e99,f99,g99,h99,i99,j99,l99,m99,n99,o99,p99,q99,r99,s99,t99,u99
